id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
108061,Rental unit in Asheville · ★4.52 · 1 bedroom · 1 bed · 1 bath,320564,Lisa,,28801,35.60562,-82.55512,Entire home/apt,,30,92,2023-10-07,0.62,2,0,1,
155305,Guesthouse in Asheville · ★4.60 · 1 bedroom · 1 bed · 1 bath,746673,BonPaul,,28806,35.57864,-82.59578,Entire home/apt,100,1,413,2023-12-24,2.73,8,296,39,
156805,Home in Asheville · ★4.52 · 1 bedroom · 1 bed · 2.5 shared baths,746673,BonPaul,,28806,35.57864,-82.59578,Private room,66,1,67,2020-01-01,0.45,8,63,0,
156926,Hostel in Asheville · ★4.70 · 1 bedroom · 6 beds · 2.5 shared baths,746673,BonPaul,,28806,35.57864,-82.59578,Shared room,26,1,337,2023-11-24,2.25,8,310,19,
197263,Home in Asheville · ★4.96 · 1 bedroom · 1 bed · 1 private bath,961396,Timo,,28806,35.57735,-82.63804,Private room,45,2,77,2023-11-26,0.56,2,0,11,
209068,Guest suite in Asheville · ★4.88 · 1 bedroom · 2 beds · 1 bath,1029919,Kevin,,28804,35.61736,-82.55074,Entire home/apt,100,30,61,2023-11-02,0.41,1,136,2,
246315,Cabin in Asheville · ★4.66 · 1 bedroom · 1 bed · 1 shared bath,1292070,Annie,,28805,35.59615,-82.50635,Private room,68,7,53,2019-10-30,0.36,3,87,0,
259576,Rental unit in Asheville · ★4.93 · 1 bedroom · 1 bed · 1 bath,1362726,Julia,,28805,35.61966,-82.48065,Entire home/apt,125,2,813,2023-12-05,5.55,1,0,68,
314540,Home in Asheville · ★5.0 · 4 bedrooms · 5 beds · 2 baths,381660,Tom,,28806,35.58561,-82.62731,Entire home/apt,427,1,15,2023-11-22,0.10,1,335,11,
427497,Guest suite in Asheville · ★4.98 · 1 bedroom · 1 bed · 1 bath,1909922,Milan,,28803,35.49088,-82.48602,Entire home/apt,159,2,47,2023-09-04,0.35,1,358,1,
436476,Guest suite in Asheville · ★4.90 · 1 bedroom · 1 bed · 1.5 baths,478398,Heidi,,28801,35.60153,-82.5604,Entire home/apt,131,2,392,2023-11-22,2.79,3,28,34,
483384,Cottage in Asheville · ★4.98 · 1 bedroom · 1 bed · 1 bath,467421,Camille,,28806,35.56921,-82.57349,Entire home/apt,135,1,743,2023-11-30,6.62,1,0,77,
498089,Rental unit in Asheville · ★4.76 · 1 bedroom · 1 bed · 1 bath,2164379,Anne Marie,,28801,35.61225509643555,-82.54288482666016,Entire home/apt,179,30,134,2022-01-31,0.96,1,177,0,
621243,Rental unit in Asheville · ★4.81 · 1 bedroom · 2 beds · 1 bath,3079174,Molly,,28801,35.60415,-82.54893,Entire home/apt,156,30,137,2023-10-21,1.96,2,0,14,
660702,Home in Asheville · ★4.74 · 1 bedroom · 2 beds · 1 bath,3335271,Brady,,28804,35.621288,-82.553017,Entire home/apt,71,1,749,2023-12-03,7.84,2,346,85,
674894,Home in Asheville · ★4.65 · 1 bedroom · 1 bed · 1 private bath,614610,Linda,,28805,35.62277,-82.50258,Private room,54,2,255,2023-11-06,1.97,2,329,14,
695196,Home in Asheville · ★4.68 · 1 bedroom · 1 bed · 1 private bath,3552264,Michelle,,28801,35.58131,-82.55741,Private room,,1,1108,2022-11-13,8.11,2,0,0,
723349,Bed and breakfast in Asheville · ★4.79 · 1 bedroom · 2 beds · 1 private bath,3736218,Mary,,28801,35.57468,-82.55705,Private room,249,2,14,2022-11-27,0.12,7,333,0,
751963,Home in Asheville · ★4.87 · 4 bedrooms · 4 beds · 2.5 baths,3920284,Lauralee,,28806,35.5793,-82.58224,Entire home/apt,,1,100,2018-10-28,0.77,1,0,0,
815068,Home in Asheville · ★4.87 · 2 bedrooms · 2 beds · 1 bath,1111171,Tom,,28804,35.64371,-82.52456,Entire home/apt,73,30,312,2023-10-31,2.33,1,183,2,
840696,Home in Asheville · ★4.99 · 2 bedrooms · 2 beds · 2 baths,4390477,Michael,,28801,35.58371,-82.56111,Entire home/apt,201,2,568,2023-12-12,4.26,1,1,53,
846221,Home in Asheville · ★4.72 · 3 bedrooms · 4 beds · 1.5 baths,4418555,Bart,,28804,35.643550872802734,-82.51139831542969,Entire home/apt,177,2,124,2022-10-29,0.95,1,316,0,
875735,Home in Asheville · ★4.71 · 1 bedroom · 1 bed · 1 private bath,4632589,Jason,,28805,35.58513,-82.50484,Private room,60,2,203,2023-10-30,1.60,1,362,7,
881707,Guest suite in Asheville · ★4.88 · Studio · 1 bed · 1 bath,4664726,Jakub & Maria,,28806,35.56754,-82.59657,Entire home/apt,88,3,980,2023-12-17,7.89,3,333,106,
942934,Home in Asheville · ★4.94 · 1 bedroom · 1 bed · 1 private bath,5100332,Pat,,28806,35.57244,-82.58949,Private room,63,2,647,2023-12-04,4.94,1,167,36,
943832,Home in Asheville · ★4.66 · 3 bedrooms · 3 beds · 1.5 baths,5107042,Terri,,28806,35.60991,-82.57838,Entire home/apt,257,2,157,2023-05-07,1.22,2,364,3,
976034,Rental unit in Asheville · ★4.96 · 1 bedroom · 1 bed · 1 bath,5340154,Ar,,28803,35.55542,-82.48316,Entire home/apt,132,2,170,2023-11-12,1.30,1,359,7,
977054,Guesthouse in Asheville · ★4.96 · 1 bedroom · 1 bed · 1 bath,4302936,Anne & Joe,,28804,35.61541,-82.55572,Entire home/apt,130,30,81,2023-10-31,0.63,1,107,4,
1039028,Tiny home in Asheville · ★4.99 · 1 bedroom · 1 bed · 1.5 baths,4143638,Tim And Muffi,,28803,35.55197,-82.49282,Entire home/apt,105,2,277,2023-11-25,2.17,2,194,22,
1066156,Cottage in Asheville · ★4.99 · 1 bedroom · 2 beds · 1 bath,4834939,Jessica,,28804,35.64745,-82.51644,Entire home/apt,146,2,697,2023-12-03,5.37,2,0,64,
1127777,Bungalow in Asheville · ★4.90 · 1 bedroom · 1 bed · 1 private bath,6187751,Hun,,28806,35.57436,-82.59227,Private room,80,2,325,2023-11-19,2.55,1,179,12,
1297717,Guest suite in Asheville · ★4.66 · Studio · 1 bed · 1 bath,614610,Linda,,28805,35.62266,-82.50397,Entire home/apt,79,2,101,2023-02-25,0.80,2,201,1,
1312301,Rental unit in Asheville · ★4.80 · 2 bedrooms · 1 bed · 1 bath,7130739,Marta,,28805,35.58235,-82.49974,Entire home/apt,95,2,94,2023-11-19,0.74,1,361,5,
1332684,Rental unit in Asheville · ★4.72 · 1 bedroom · 1 bed · 1 bath,2799158,Kari,,28806,35.58182,-82.59267,Entire home/apt,56,30,502,2023-12-03,3.99,1,5,7,
1392363,Bungalow in Asheville · ★4.85 · 2 bedrooms · 3 beds · 1 bath,7527127,Theo,,28804,35.62642,-82.57905,Entire home/apt,215,2,100,2023-11-12,1.53,3,9,15,
1393012,Home in Arden · ★4.97 · 1 bedroom · 1 bed · 1 private bath,7523601,Karen,,28704,35.46248,-82.53867,Private room,79,1,138,2023-11-12,1.12,1,357,18,
1421061,Rental unit in Asheville · ★4.94 · 1 bedroom · 1 bed · 1 bath,483350,Emilio And Kate,,28803,35.57776,-82.5369,Entire home/apt,120,2,145,2023-11-12,1.15,1,0,8,
1466495,Bungalow in Candler · ★4.83 · 1 bedroom · 1 bed · 1 bath,7307939,Jeffrey,,28715,35.56745,-82.65515,Entire home/apt,145,2,19,2023-10-22,0.15,1,0,2,
1475299,Home in Asheville · ★5.0 · 3 bedrooms · 2 beds · 1.5 baths,1566145,Gayle,,28804,35.64446,-82.52653,Entire home/apt,120,3,29,2023-11-26,0.23,2,357,3,
1569954,Home in Asheville · ★4.89 · 1 bedroom · 1 bed · 1 bath,8348149,Deborah,,28801,35.61185,-82.55216,Private room,150,30,38,2015-11-02,0.30,1,349,0,
1571095,Guesthouse in Asheville · ★4.92 · Studio · 1 bed · 1 bath,8345942,Sherry,,28803,35.57388,-82.5385,Entire home/apt,85,2,134,2023-12-11,1.57,1,71,12,
1574329,Bed and breakfast in Asheville · ★4.80 · 1 bedroom · 1 bed · 1 private bath,3736218,Mary,,28801,35.57478,-82.55719,Private room,199,2,5,2021-06-29,0.05,7,337,0,
1586906,Home in Asheville · ★4.96 · 1 bedroom · 1 bed · 1 private bath,5601328,Mary,,28801,35.60852,-82.56335,Private room,90,2,292,2023-11-10,2.35,1,294,21,
1684109,Home in Asheville · ★4.98 · 3 bedrooms · 6 beds · 2.5 baths,4117051,Louise And Steve,,28805,35.60792,-82.48789,Entire home/apt,275,3,169,2023-12-12,1.36,3,297,16,
1728187,Home in Asheville · ★4.70 · 2 bedrooms · 2 beds · 1 bath,320564,Lisa,,28801,35.60644,-82.55594,Entire home/apt,200,30,54,2023-11-21,0.47,2,131,5,
1768955,Rental unit in Asheville · ★4.91 · 1 bedroom · 1 bed · 1 bath,12874214,David,,28801,35.60368,-82.55647,Entire home/apt,84,2,154,2023-12-17,1.24,2,354,51,
1827412,Rental unit in Asheville · ★4.76 · 1 bedroom · 1 bed · 2 shared baths,7625694,John,,28801,35.59103,-82.54959,Private room,88,2,491,2023-11-06,4.09,9,352,15,
1843828,Home in Asheville · ★4.95 · 2 bedrooms · 2 beds · 2 baths,9617701,Diane & Dick,,28804,35.64699,-82.53107,Entire home/apt,,3,91,2021-01-02,0.75,1,0,0,
1851921,Guest suite in Asheville · ★4.88 · 1 bedroom · 1 bed · 1 bath,1816805,Audrey,,28801,35.59467,-82.54444,Entire home/apt,129,3,43,2023-08-27,0.50,1,18,10,
1879067,Home in Asheville · ★4.96 · 1 bedroom · 2 beds · 1 bath,313613,Alyson,,28806,35.56772,-82.61632,Entire home/apt,95,2,93,2023-11-19,3.04,1,219,31,
2072026,Guest suite in Asheville · ★4.94 · 1 bedroom · 4 beds · 1 bath,8533528,Susan,,28804,35.63821,-82.54841,Entire home/apt,105,2,402,2023-12-03,3.36,1,0,24,
2176375,Home in Asheville · ★4.92 · 1 bedroom · 1 bed · 1 bath,11100294,Jane,,28806,35.56934,-82.58782,Entire home/apt,55,29,224,2023-11-13,1.87,2,258,5,
2222067,Guest suite in Asheville · ★4.87 · 1 bedroom · 1 bed · 1 bath,11336944,Sharon,,28801,35.58263,-82.55769,Entire home/apt,99,2,403,2023-11-20,4.22,1,174,29,
2254521,Bungalow in Asheville · ★4.75 · 1 bedroom · 1 bed · 1 private bath,546222,Martha,,28806,35.56766,-82.56802,Private room,65,28,36,2021-08-31,0.30,1,364,0,
2296152,Home in Asheville · ★4.86 · 1 bedroom · 1 bed · 1 private bath,7535860,Rita,,28801,35.60388,-82.56129,Private room,81,1,1009,2023-12-02,8.43,2,0,56,
2326086,Loft in Asheville · ★4.96 · 1 bedroom · 2 beds · 1 bath,2307713,Krista,,28801,35.59541,-82.55329,Entire home/apt,139,1,770,2023-12-10,6.42,3,206,93,
2411109,Home in Asheville · ★4.90 · 1 bedroom · 1 bed · 1 private bath,7535860,Rita,,28801,35.60113,-82.55785,Private room,86,1,1130,2023-11-22,9.54,2,336,91,
2454666,Rental unit in Asheville · ★4.89 · 2 bedrooms · 2 beds · 1 bath,10240937,Joe,,28806,35.57881,-82.58688,Entire home/apt,166,2,345,2023-12-03,2.91,1,320,24,
2477628,Home in Asheville · ★4.84 · 2 bedrooms · 2 beds · 1.5 baths,8035294,Alicia,,28801,35.58924,-82.56835,Entire home/apt,215,30,195,2023-04-22,1.65,2,170,7,
2569529,Condo in Asheville · ★5.0 · 2 bedrooms · 2 beds · 2 baths,8671251,Heather,,28801,35.6011,-82.55586,Entire home/apt,85,180,10,2016-07-04,0.08,1,365,0,
2605869,Home in Asheville · ★4.55 · 6 bedrooms · 8 beds · 3.5 baths,9385592,Kelsey,,28805,35.6147,-82.48471,Entire home/apt,454,2,33,2022-08-01,0.32,5,35,0,
2643168,Boutique hotel in Asheville · 1 bedroom · 1 bed · 1 private bath,13532421,Frank,,28801,35.60262,-82.54967,Private room,999,1,0,,,9,74,0,
2925486,Place to stay in Asheville · ★4.92 · 1 bedroom · 2 beds · 1 bath,14937363,Melanie,,28805,35.58627,-82.50244,Entire home/apt,130,1,367,2023-10-13,3.13,1,223,21,
3040444,Guest suite in Asheville · ★4.93 · 1 bedroom · 1 bed · 1 bath,12874214,David,,28801,35.60329,-82.55617,Entire home/apt,71,2,658,2023-12-01,5.66,2,0,64,
3066648,Home in Asheville · ★4.80 · 1 bedroom · 1 bed · 1 bath,10535408,David,,28801,35.59117126464844,-82.56571197509766,Entire home/apt,100,30,188,2023-12-07,1.62,1,149,3,
3084395,Bungalow in Asheville · ★4.84 · 2 bedrooms · 2 beds · 1 bath,15694798,Josh,,28804,35.62443,-82.52845,Entire home/apt,137,1,334,2023-12-06,2.87,2,0,19,
3095136,Cabin in Asheville · ★4.82 · 3 bedrooms · 3 beds · 1 bath,15694798,Josh,,28806,35.59502,-82.63916,Entire home/apt,225,1,413,2023-08-16,3.54,2,289,13,
3220474,Home in Asheville · ★4.74 · 1 bedroom · 1 bed · 1 private bath,16296123,Allison & Peter,,28803,35.49167,-82.51505,Private room,44,1,901,2023-12-03,7.80,3,0,58,
3225871,Guest suite in Fletcher · ★4.42 · 1 bedroom · 1 bed · 1 bath,16293519,Ellen,,28732,35.44101,-82.50573,Entire home/apt,33,1,89,2019-09-16,0.96,1,230,0,
3268055,Guest suite in Asheville · ★4.85 · 1 bedroom · 1 bed · 1 bath,167473,Kelly,,28806,35.58865,-82.63812,Entire home/apt,82,2,181,2022-11-06,1.57,2,171,0,
3268747,Rental unit in Asheville · ★5.0 · 2 bedrooms · 2 beds · 2 baths,1936889,Kathleen,,28805,35.57174,-82.53554,Entire home/apt,,4,3,2022-09-05,0.10,1,0,0,
3314819,Home in Asheville · ★4.76 · 1 bedroom · 1 bed · 1 private bath,16296123,Allison & Peter,,28803,35.49233,-82.51495,Private room,43,1,1275,2023-12-08,11.04,3,64,142,
3369973,Home in Asheville · ★4.94 · 2 bedrooms · 2 beds · 2 baths,12087030,Marie,,28803,35.58215,-82.5475,Entire home/apt,247,2,256,2023-12-03,2.83,1,312,9,
3405282,Cabin in Asheville · ★4.96 · 1 bedroom · 2 beds · 1 bath,17173574,Scott & Catherine,,28801,35.61206,-82.5441,Entire home/apt,80,30,23,2023-11-30,0.23,1,142,2,
3445336,Home in Asheville · 2 bedrooms · 2 beds · 1 bath,17363326,Michael,,28801,35.59183,-82.54626,Entire home/apt,150,30,0,,,2,365,0,
3445948,Guest suite in Asheville · ★4.55 · 2 bedrooms · 2 beds · 1 bath,3079174,Molly,,28801,35.60432,-82.55011,Entire home/apt,545,2,66,2018-01-01,0.58,2,357,0,
3454237,Bungalow in Asheville · ★4.64 · 2 bedrooms · 2 beds · 1 bath,6619953,Becky,,28805,35.58981,-82.50347,Entire home/apt,80,30,77,2022-09-05,0.67,1,339,0,
3522532,Guesthouse in Asheville · ★4.74 · Studio · 1 bath,4846203,Zak & Iz,,28806,35.58012,-82.60522,Entire home/apt,40,30,188,2023-10-31,1.66,1,76,4,
3529241,Guesthouse in Asheville · ★4.99 · Studio · 1 bed · 1 bath,17767321,JC & Jackson,,28801,35.6037,-82.56183,Entire home/apt,164,2,350,2023-11-19,3.08,1,6,29,
3563156,Cottage in Asheville · ★4.95 · 1 bedroom · 1 bed · 1 private bath,653292,Joann,,28806,35.57835,-82.60738,Private room,55,2,218,2023-11-25,1.91,1,351,24,
3590634,Cabin in Asheville · ★4.93 · 1 bedroom · 1 bed · 1 bath,18089084,Patty,,28803,35.54697,-82.49353,Entire home/apt,126,2,350,2023-12-10,3.06,2,343,48,
3649639,Rental unit in Asheville · ★4.93 · 1 bedroom · 3 beds · 1 bath,18450336,Michele,,28801,35.6067,-82.56471,Entire home/apt,106,2,617,2023-11-26,5.39,2,0,65,
